Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",3,COLBY_SAWYER_WBB
"GRAHAM,PIPER","LEWIS,JADE",7,COLBY_SAWYER_WBB
"GRAHAM,PIPER","TURCO,MARY",7,COLBY_SAWYER_WBB
"GRAHAM,PIPER","URIBE,TALIA",2,COLBY_SAWYER_WBB
"JOHNSTON,RAHMIA","LEWIS,JADE",10,COLBY_SAWYER_WBB
"JOHNSTON,RAHMIA","TURCO,MARY",7,COLBY_SAWYER_WBB
"JOHNSTON,RAHMIA","URIBE,TALIA",6,COLBY_SAWYER_WBB
"LEWIS,JADE","TURCO,MARY",8,COLBY_SAWYER_WBB
"LEWIS,JADE","URIBE,TALIA",5,COLBY_SAWYER_WBB
"TURCO,MARY","URIBE,TALIA",8,COLBY_SAWYER_WBB
"GORSKI,JENNY","GRAHAM,PIPER",6,COLBY_SAWYER_WBB
"GORSKI,JENNY","JOHNSTON,RAHMIA",5,COLBY_SAWYER_WBB
"GORSKI,JENNY","LEWIS,JADE",4,COLBY_SAWYER_WBB
"GORSKI,JENNY","URIBE,TALIA",4,COLBY_SAWYER_WBB
"BARRON,SHEA","GORSKI,JENNY",-4,COLBY_SAWYER_WBB
"BARRON,SHEA","JOHNSTON,RAHMIA",-3,COLBY_SAWYER_WBB
"BARRON,SHEA","LEWIS,JADE",2,COLBY_SAWYER_WBB
"BARRON,SHEA","URIBE,TALIA",2,COLBY_SAWYER_WBB
"BARRON,SHEA","TURCO,MARY",-2,COLBY_SAWYER_WBB
"GORSKI,JENNY","TURCO,MARY",1,COLBY_SAWYER_WBB
"BARRON,SHEA","WASIEWICZ,GABBY",-2,COLBY_SAWYER_WBB
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",0,COLBY_SAWYER_WBB
"LEWIS,JADE","WASIEWICZ,GABBY",4,COLBY_SAWYER_WBB
"TURCO,MARY","WASIEWICZ,GABBY",4,COLBY_SAWYER_WBB
"GORSKI,JENNY","WASIEWICZ,GABBY",4,COLBY_SAWYER_WBB
"URIBE,TALIA","WASIEWICZ,GABBY",1,COLBY_SAWYER_WBB
"GRAHAM,PIPER","WASIEWICZ,GABBY",-8,COLBY_SAWYER_WBB
"BARRON,SHEA","GRAHAM,PIPER",-1,COLBY_SAWYER_WBB
"GRAHAM,PIPER","LEBEL,KELLY",-1,COLBY_SAWYER_WBB
"JOHNSTON,RAHMIA","LEBEL,KELLY",-1,COLBY_SAWYER_WBB
"LEBEL,KELLY","TURCO,MARY",-1,COLBY_SAWYER_WBB
"LEBEL,KELLY","WASIEWICZ,GABBY",0,COLBY_SAWYER_WBB
"BARRON,SHEA","LEBEL,KELLY",-1,COLBY_SAWYER_WBB
"ANDRADE,SOPHIA","BARRON,SHEA",1,COLBY_SAWYER_WBB
"ANDRADE,SOPHIA","GRAHAM,PIPER",1,COLBY_SAWYER_WBB
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",1,COLBY_SAWYER_WBB
"ANDRADE,SOPHIA","LEBEL,KELLY",0,COLBY_SAWYER_WBB
"ANDRADE,SOPHIA","LEWIS,JADE",4,COLBY_SAWYER_WBB
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-3,COLBY_SAWYER_WBB
