Player 1,Player 2,Plus/Minus,Game
"JOHNSTON,RAHMIA","LEBEL,KELLY",10,Dean
"JOHNSTON,RAHMIA","LEWIS,JADE",9,Dean
"JOHNSTON,RAHMIA","TURCO,MARY",10,Dean
"JOHNSTON,RAHMIA","URIBE,TALIA",10,Dean
"LEBEL,KELLY","LEWIS,JADE",9,Dean
"LEBEL,KELLY","TURCO,MARY",9,Dean
"LEBEL,KELLY","URIBE,TALIA",10,Dean
"LEWIS,JADE","TURCO,MARY",9,Dean
"LEWIS,JADE","URIBE,TALIA",10,Dean
"TURCO,MARY","URIBE,TALIA",10,Dean
"GORSKI,JENNY","JOHNSTON,RAHMIA",18,Dean
"GORSKI,JENNY","LEBEL,KELLY",-1,Dean
"GORSKI,JENNY","LEWIS,JADE",-2,Dean
"GORSKI,JENNY","TURCO,MARY",-1,Dean
"BARRON,SHEA","GORSKI,JENNY",18,Dean
"BARRON,SHEA","LEBEL,KELLY",-1,Dean
"BARRON,SHEA","LEWIS,JADE",-1,Dean
"BARRON,SHEA","TURCO,MARY",-1,Dean
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",18,Dean
"ANDRADE,SOPHIA","LEWIS,JADE",-6,Dean
"ANDRADE,SOPHIA","URIBE,TALIA",0,Dean
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",19,Dean
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",19,Dean
"LEWIS,JADE","WASIEWICZ,GABBY",0,Dean
"URIBE,TALIA","WASIEWICZ,GABBY",0,Dean
"ANDRADE,SOPHIA","GRAHAM,PIPER",0,Dean
"GRAHAM,PIPER","JOHNSTON,RAHMIA",0,Dean
"GRAHAM,PIPER","LEWIS,JADE",0,Dean
"GRAHAM,PIPER","URIBE,TALIA",0,Dean
"ANDRADE,SOPHIA","BARRON,SHEA",19,Dean
"ANDRADE,SOPHIA","GORSKI,JENNY",18,Dean
"BARRON,SHEA","JOHNSTON,RAHMIA",19,Dean
"BARRON,SHEA","WASIEWICZ,GABBY",19,Dean
"GORSKI,JENNY","WASIEWICZ,GABBY",19,Dean
"ANDRADE,SOPHIA","PACHECO,MIA",-9,Dean
"GORSKI,JENNY","PACHECO,MIA",-1,Dean
"JOHNSTON,RAHMIA","PACHECO,MIA",-1,Dean
"LEWIS,JADE","PACHECO,MIA",-6,Dean
"ANDRADE,SOPHIA","MILDNER,STEPHANIE",-8,Dean
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",0,Dean
"LEWIS,JADE","MILDNER,STEPHANIE",-5,Dean
"MILDNER,STEPHANIE","PACHECO,MIA",-8,Dean
"ANDRADE,SOPHIA","GUERRIER,PHONIA",-8,Dean
"GUERRIER,PHONIA","LEWIS,JADE",-5,Dean
"GUERRIER,PHONIA","MILDNER,STEPHANIE",-8,Dean
"GUERRIER,PHONIA","PACHECO,MIA",-8,Dean
"ANDRADE,SOPHIA","SMITH,HEAVEN",-3,Dean
"GUERRIER,PHONIA","SMITH,HEAVEN",-3,Dean
"MILDNER,STEPHANIE","SMITH,HEAVEN",-3,Dean
"PACHECO,MIA","SMITH,HEAVEN",-3,Dean
