Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-5,EMMANUEL_WBB
"GRAHAM,PIPER","LEWIS,JADE",-13,EMMANUEL_WBB
"GRAHAM,PIPER","TURCO,MARY",5,EMMANUEL_WBB
"GRAHAM,PIPER","URIBE,TALIA",-14,EMMANUEL_WBB
"JOHNSTON,RAHMIA","LEWIS,JADE",-14,EMMANUEL_WBB
"JOHNSTON,RAHMIA","TURCO,MARY",6,EMMANUEL_WBB
"JOHNSTON,RAHMIA","URIBE,TALIA",-14,EMMANUEL_WBB
"LEWIS,JADE","TURCO,MARY",5,EMMANUEL_WBB
"LEWIS,JADE","URIBE,TALIA",-16,EMMANUEL_WBB
"TURCO,MARY","URIBE,TALIA",0,EMMANUEL_WBB
"GORSKI,JENNY","GRAHAM,PIPER",-7,EMMANUEL_WBB
"GORSKI,JENNY","JOHNSTON,RAHMIA",-15,EMMANUEL_WBB
"GORSKI,JENNY","LEWIS,JADE",-15,EMMANUEL_WBB
"GORSKI,JENNY","URIBE,TALIA",-14,EMMANUEL_WBB
"BARRON,SHEA","JOHNSTON,RAHMIA",-7,EMMANUEL_WBB
"BARRON,SHEA","LEWIS,JADE",-15,EMMANUEL_WBB
"BARRON,SHEA","TURCO,MARY",1,EMMANUEL_WBB
"BARRON,SHEA","WASIEWICZ,GABBY",-9,EMMANUEL_WBB
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-8,EMMANUEL_WBB
"LEWIS,JADE","WASIEWICZ,GABBY",-11,EMMANUEL_WBB
"TURCO,MARY","WASIEWICZ,GABBY",1,EMMANUEL_WBB
"BARRON,SHEA","GORSKI,JENNY",-8,EMMANUEL_WBB
"GORSKI,JENNY","WASIEWICZ,GABBY",-9,EMMANUEL_WBB
"GRAHAM,PIPER","WASIEWICZ,GABBY",-10,EMMANUEL_WBB
"URIBE,TALIA","WASIEWICZ,GABBY",-4,EMMANUEL_WBB
"ANDRADE,SOPHIA","GRAHAM,PIPER",-7,EMMANUEL_WBB
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-11,EMMANUEL_WBB
"ANDRADE,SOPHIA","LEWIS,JADE",-18,EMMANUEL_WBB
"ANDRADE,SOPHIA","URIBE,TALIA",-3,EMMANUEL_WBB
"ANDRADE,SOPHIA","BARRON,SHEA",-9,EMMANUEL_WBB
"BARRON,SHEA","GRAHAM,PIPER",-9,EMMANUEL_WBB
"BARRON,SHEA","URIBE,TALIA",-7,EMMANUEL_WBB
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-13,EMMANUEL_WBB
"ANDRADE,SOPHIA","GORSKI,JENNY",-6,EMMANUEL_WBB
"ANDRADE,SOPHIA","LEBEL,KELLY",-3,EMMANUEL_WBB
"GORSKI,JENNY","LEBEL,KELLY",-3,EMMANUEL_WBB
"JOHNSTON,RAHMIA","LEBEL,KELLY",-3,EMMANUEL_WBB
"LEBEL,KELLY","LEWIS,JADE",-2,EMMANUEL_WBB
"LEBEL,KELLY","WASIEWICZ,GABBY",0,EMMANUEL_WBB
"BARRON,SHEA","LEBEL,KELLY",-1,EMMANUEL_WBB
"ANDRADE,SOPHIA","TURCO,MARY",-2,EMMANUEL_WBB
"GORSKI,JENNY","TURCO,MARY",5,EMMANUEL_WBB
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",3,EMMANUEL_WBB
"LEWIS,JADE","MILDNER,STEPHANIE",3,EMMANUEL_WBB
"MILDNER,STEPHANIE","TURCO,MARY",3,EMMANUEL_WBB
"MILDNER,STEPHANIE","WASIEWICZ,GABBY",3,EMMANUEL_WBB
"GUERRIER,PHONIA","LEBEL,KELLY",0,EMMANUEL_WBB
"GUERRIER,PHONIA","LEWIS,JADE",0,EMMANUEL_WBB
"GUERRIER,PHONIA","MILDNER,STEPHANIE",0,EMMANUEL_WBB
"GUERRIER,PHONIA","SMITH,HEAVEN",0,EMMANUEL_WBB
"LEBEL,KELLY","MILDNER,STEPHANIE",0,EMMANUEL_WBB
"LEBEL,KELLY","SMITH,HEAVEN",0,EMMANUEL_WBB
"LEWIS,JADE","SMITH,HEAVEN",0,EMMANUEL_WBB
"MILDNER,STEPHANIE","SMITH,HEAVEN",0,EMMANUEL_WBB
