Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-18,Emerson
"GRAHAM,PIPER","LEWIS,JADE",-4,Emerson
"GRAHAM,PIPER","TURCO,MARY",-18,Emerson
"GRAHAM,PIPER","URIBE,TALIA",-16,Emerson
"JOHNSTON,RAHMIA","LEWIS,JADE",4,Emerson
"JOHNSTON,RAHMIA","TURCO,MARY",-10,Emerson
"JOHNSTON,RAHMIA","URIBE,TALIA",-16,Emerson
"LEWIS,JADE","TURCO,MARY",1,Emerson
"LEWIS,JADE","URIBE,TALIA",-4,Emerson
"TURCO,MARY","URIBE,TALIA",-16,Emerson
"GORSKI,JENNY","GRAHAM,PIPER",-9,Emerson
"GORSKI,JENNY","JOHNSTON,RAHMIA",-1,Emerson
"GORSKI,JENNY","TURCO,MARY",0,Emerson
"GORSKI,JENNY","URIBE,TALIA",-7,Emerson
"BARRON,SHEA","GORSKI,JENNY",-5,Emerson
"BARRON,SHEA","GRAHAM,PIPER",-5,Emerson
"BARRON,SHEA","JOHNSTON,RAHMIA",-5,Emerson
"BARRON,SHEA","TURCO,MARY",-2,Emerson
"BARRON,SHEA","URIBE,TALIA",-3,Emerson
"GORSKI,JENNY","LEBEL,KELLY",8,Emerson
"GRAHAM,PIPER","LEBEL,KELLY",-3,Emerson
"JOHNSTON,RAHMIA","LEBEL,KELLY",5,Emerson
"LEBEL,KELLY","URIBE,TALIA",-3,Emerson
"LEBEL,KELLY","TURCO,MARY",5,Emerson
"GORSKI,JENNY","LEWIS,JADE",10,Emerson
"ANDRADE,SOPHIA","GRAHAM,PIPER",1,Emerson
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",1,Emerson
"ANDRADE,SOPHIA","LEWIS,JADE",1,Emerson
"ANDRADE,SOPHIA","URIBE,TALIA",1,Emerson
"LEBEL,KELLY","LEWIS,JADE",8,Emerson
