Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-5,Emmanuel
"GRAHAM,PIPER","LEWIS,JADE",-13,Emmanuel
"GRAHAM,PIPER","TURCO,MARY",5,Emmanuel
"GRAHAM,PIPER","URIBE,TALIA",-14,Emmanuel
"JOHNSTON,RAHMIA","LEWIS,JADE",-14,Emmanuel
"JOHNSTON,RAHMIA","TURCO,MARY",6,Emmanuel
"JOHNSTON,RAHMIA","URIBE,TALIA",-14,Emmanuel
"LEWIS,JADE","TURCO,MARY",5,Emmanuel
"LEWIS,JADE","URIBE,TALIA",-16,Emmanuel
"TURCO,MARY","URIBE,TALIA",0,Emmanuel
"GORSKI,JENNY","GRAHAM,PIPER",-7,Emmanuel
"GORSKI,JENNY","JOHNSTON,RAHMIA",-15,Emmanuel
"GORSKI,JENNY","LEWIS,JADE",-15,Emmanuel
"GORSKI,JENNY","URIBE,TALIA",-14,Emmanuel
"BARRON,SHEA","JOHNSTON,RAHMIA",-7,Emmanuel
"BARRON,SHEA","LEWIS,JADE",-15,Emmanuel
"BARRON,SHEA","TURCO,MARY",1,Emmanuel
"BARRON,SHEA","WASIEWICZ,GABBY",-9,Emmanuel
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-8,Emmanuel
"LEWIS,JADE","WASIEWICZ,GABBY",-11,Emmanuel
"TURCO,MARY","WASIEWICZ,GABBY",1,Emmanuel
"BARRON,SHEA","GORSKI,JENNY",-8,Emmanuel
"GORSKI,JENNY","WASIEWICZ,GABBY",-9,Emmanuel
"GRAHAM,PIPER","WASIEWICZ,GABBY",-10,Emmanuel
"URIBE,TALIA","WASIEWICZ,GABBY",-4,Emmanuel
"ANDRADE,SOPHIA","GRAHAM,PIPER",-7,Emmanuel
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-11,Emmanuel
"ANDRADE,SOPHIA","LEWIS,JADE",-18,Emmanuel
"ANDRADE,SOPHIA","URIBE,TALIA",-3,Emmanuel
"ANDRADE,SOPHIA","BARRON,SHEA",-9,Emmanuel
"BARRON,SHEA","GRAHAM,PIPER",-9,Emmanuel
"BARRON,SHEA","URIBE,TALIA",-7,Emmanuel
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-13,Emmanuel
"ANDRADE,SOPHIA","GORSKI,JENNY",-6,Emmanuel
"ANDRADE,SOPHIA","LEBEL,KELLY",-3,Emmanuel
"GORSKI,JENNY","LEBEL,KELLY",-3,Emmanuel
"JOHNSTON,RAHMIA","LEBEL,KELLY",-3,Emmanuel
"LEBEL,KELLY","LEWIS,JADE",-2,Emmanuel
"LEBEL,KELLY","WASIEWICZ,GABBY",0,Emmanuel
"BARRON,SHEA","LEBEL,KELLY",-1,Emmanuel
"ANDRADE,SOPHIA","TURCO,MARY",-2,Emmanuel
"GORSKI,JENNY","TURCO,MARY",5,Emmanuel
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",3,Emmanuel
"LEWIS,JADE","MILDNER,STEPHANIE",3,Emmanuel
"MILDNER,STEPHANIE","TURCO,MARY",3,Emmanuel
"MILDNER,STEPHANIE","WASIEWICZ,GABBY",3,Emmanuel
"GUERRIER,PHONIA","LEBEL,KELLY",0,Emmanuel
"GUERRIER,PHONIA","LEWIS,JADE",0,Emmanuel
"GUERRIER,PHONIA","MILDNER,STEPHANIE",0,Emmanuel
"GUERRIER,PHONIA","SMITH,HEAVEN",0,Emmanuel
"LEBEL,KELLY","MILDNER,STEPHANIE",0,Emmanuel
"LEBEL,KELLY","SMITH,HEAVEN",0,Emmanuel
"LEWIS,JADE","SMITH,HEAVEN",0,Emmanuel
"MILDNER,STEPHANIE","SMITH,HEAVEN",0,Emmanuel
