Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-3,Fitchburg State
"GRAHAM,PIPER","LEWIS,JADE",-1,Fitchburg State
"GRAHAM,PIPER","TURCO,MARY",-2,Fitchburg State
"GRAHAM,PIPER","URIBE,TALIA",0,Fitchburg State
"JOHNSTON,RAHMIA","LEWIS,JADE",-3,Fitchburg State
"JOHNSTON,RAHMIA","TURCO,MARY",-4,Fitchburg State
"JOHNSTON,RAHMIA","URIBE,TALIA",-3,Fitchburg State
"LEWIS,JADE","TURCO,MARY",0,Fitchburg State
"LEWIS,JADE","URIBE,TALIA",6,Fitchburg State
"TURCO,MARY","URIBE,TALIA",0,Fitchburg State
"GORSKI,JENNY","GRAHAM,PIPER",2,Fitchburg State
"GORSKI,JENNY","JOHNSTON,RAHMIA",1,Fitchburg State
"GORSKI,JENNY","LEWIS,JADE",7,Fitchburg State
"GORSKI,JENNY","URIBE,TALIA",9,Fitchburg State
"GORSKI,JENNY","LEBEL,KELLY",4,Fitchburg State
"GRAHAM,PIPER","LEBEL,KELLY",4,Fitchburg State
"JOHNSTON,RAHMIA","LEBEL,KELLY",0,Fitchburg State
"LEBEL,KELLY","LEWIS,JADE",1,Fitchburg State
"BARRON,SHEA","GORSKI,JENNY",7,Fitchburg State
"BARRON,SHEA","JOHNSTON,RAHMIA",0,Fitchburg State
"BARRON,SHEA","LEBEL,KELLY",-1,Fitchburg State
"BARRON,SHEA","LEWIS,JADE",5,Fitchburg State
"BARRON,SHEA","MILDNER,STEPHANIE",3,Fitchburg State
"BARRON,SHEA","URIBE,TALIA",10,Fitchburg State
"GORSKI,JENNY","MILDNER,STEPHANIE",2,Fitchburg State
"LEWIS,JADE","MILDNER,STEPHANIE",-2,Fitchburg State
"MILDNER,STEPHANIE","URIBE,TALIA",3,Fitchburg State
"LEBEL,KELLY","URIBE,TALIA",5,Fitchburg State
"LEBEL,KELLY","MILDNER,STEPHANIE",-6,Fitchburg State
"ANDRADE,SOPHIA","BARRON,SHEA",-5,Fitchburg State
"ANDRADE,SOPHIA","LEBEL,KELLY",-5,Fitchburg State
"ANDRADE,SOPHIA","LEWIS,JADE",-5,Fitchburg State
"ANDRADE,SOPHIA","MILDNER,STEPHANIE",-3,Fitchburg State
"ANDRADE,SOPHIA","URIBE,TALIA",-2,Fitchburg State
"GRAHAM,PIPER","MILDNER,STEPHANIE",-1,Fitchburg State
"MILDNER,STEPHANIE","TURCO,MARY",0,Fitchburg State
"LEBEL,KELLY","TURCO,MARY",2,Fitchburg State
"BARRON,SHEA","GRAHAM,PIPER",1,Fitchburg State
"BARRON,SHEA","TURCO,MARY",4,Fitchburg State
