Player 1,Player 2,Plus/Minus,Game
"GORSKI,JENNY","GUERRIER,PHONIA",-5,Gordon
"GORSKI,JENNY","JOHNSTON,RAHMIA",-5,Gordon
"GORSKI,JENNY","LEWIS,JADE",-5,Gordon
"GORSKI,JENNY","TURCO,MARY",8,Gordon
"GUERRIER,PHONIA","JOHNSTON,RAHMIA",-13,Gordon
"GUERRIER,PHONIA","LEWIS,JADE",-8,Gordon
"GUERRIER,PHONIA","TURCO,MARY",5,Gordon
"JOHNSTON,RAHMIA","LEWIS,JADE",-5,Gordon
"JOHNSTON,RAHMIA","TURCO,MARY",8,Gordon
"LEWIS,JADE","TURCO,MARY",5,Gordon
"GORSKI,JENNY","LEBEL,KELLY",-13,Gordon
"GUERRIER,PHONIA","LEBEL,KELLY",-30,Gordon
"JOHNSTON,RAHMIA","LEBEL,KELLY",-16,Gordon
"LEBEL,KELLY","LEWIS,JADE",-13,Gordon
"ANDRADE,SOPHIA","BARRON,SHEA",-17,Gordon
"ANDRADE,SOPHIA","GRAHAM,PIPER",-5,Gordon
"ANDRADE,SOPHIA","GUERRIER,PHONIA",-22,Gordon
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-8,Gordon
"BARRON,SHEA","GRAHAM,PIPER",-3,Gordon
"BARRON,SHEA","GUERRIER,PHONIA",-17,Gordon
"BARRON,SHEA","JOHNSTON,RAHMIA",-3,Gordon
"GRAHAM,PIPER","GUERRIER,PHONIA",-5,Gordon
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-5,Gordon
"ANDRADE,SOPHIA","PACHECO,MIA",-19,Gordon
"GRAHAM,PIPER","PACHECO,MIA",-2,Gordon
"GUERRIER,PHONIA","PACHECO,MIA",-22,Gordon
"JOHNSTON,RAHMIA","PACHECO,MIA",-5,Gordon
"ANDRADE,SOPHIA","LEBEL,KELLY",-17,Gordon
"LEBEL,KELLY","PACHECO,MIA",-17,Gordon
"BARRON,SHEA","LEBEL,KELLY",-14,Gordon
"BARRON,SHEA","PACHECO,MIA",-14,Gordon
"GUERRIER,PHONIA","MILDNER,STEPHANIE",-3,Gordon
"LEWIS,JADE","MILDNER,STEPHANIE",-3,Gordon
"LEWIS,JADE","PACHECO,MIA",-3,Gordon
"MILDNER,STEPHANIE","PACHECO,MIA",-3,Gordon
"MILDNER,STEPHANIE","TURCO,MARY",-3,Gordon
"PACHECO,MIA","TURCO,MARY",-3,Gordon
