Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-6,JWU_PROVIDENCE_WBB2
"GRAHAM,PIPER","LEWIS,JADE",-4,JWU_PROVIDENCE_WBB2
"GRAHAM,PIPER","TURCO,MARY",-6,JWU_PROVIDENCE_WBB2
"GRAHAM,PIPER","URIBE,TALIA",2,JWU_PROVIDENCE_WBB2
"JOHNSTON,RAHMIA","LEWIS,JADE",-12,JWU_PROVIDENCE_WBB2
"JOHNSTON,RAHMIA","TURCO,MARY",-23,JWU_PROVIDENCE_WBB2
"JOHNSTON,RAHMIA","URIBE,TALIA",-11,JWU_PROVIDENCE_WBB2
"LEWIS,JADE","TURCO,MARY",-16,JWU_PROVIDENCE_WBB2
"LEWIS,JADE","URIBE,TALIA",-2,JWU_PROVIDENCE_WBB2
"TURCO,MARY","URIBE,TALIA",-3,JWU_PROVIDENCE_WBB2
"BARRON,SHEA","JOHNSTON,RAHMIA",-42,JWU_PROVIDENCE_WBB2
"BARRON,SHEA","LEWIS,JADE",-13,JWU_PROVIDENCE_WBB2
"BARRON,SHEA","TURCO,MARY",-21,JWU_PROVIDENCE_WBB2
"BARRON,SHEA","URIBE,TALIA",-10,JWU_PROVIDENCE_WBB2
"BARRON,SHEA","GORSKI,JENNY",-23,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY","JOHNSTON,RAHMIA",-21,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY","LEWIS,JADE",5,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY","URIBE,TALIA",-2,JWU_PROVIDENCE_WBB2
"BARRON,SHEA","WASIEWICZ,GABBY",-24,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY","WASIEWICZ,GABBY",-21,JWU_PROVIDENCE_WBB2
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-25,JWU_PROVIDENCE_WBB2
"URIBE,TALIA","WASIEWICZ,GABBY",-9,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","BARRON,SHEA",-12,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","GORSKI,JENNY",2,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-8,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","URIBE,TALIA",9,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","LEWIS,JADE",-4,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","TURCO,MARY",-7,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","GRAHAM,PIPER",3,JWU_PROVIDENCE_WBB2
"BARRON,SHEA","GRAHAM,PIPER",-5,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY","GRAHAM,PIPER",-5,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY","TURCO,MARY",-5,JWU_PROVIDENCE_WBB2
"TURCO,MARY","WASIEWICZ,GABBY",-7,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","LEBEL,KELLY",-4,JWU_PROVIDENCE_WBB2
"BARRON,SHEA","LEBEL,KELLY",-14,JWU_PROVIDENCE_WBB2
"JOHNSTON,RAHMIA","LEBEL,KELLY",-16,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY","URIBE,TALIA",-2,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY","LEBEL,KELLY",-14,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-7,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY","WASIEWICZ,GABBY",-16,JWU_PROVIDENCE_WBB2
"LEWIS,JADE","WASIEWICZ,GABBY",0,JWU_PROVIDENCE_WBB2
"GRAHAM,PIPER","WASIEWICZ,GABBY",-3,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY","LEWIS,JADE",2,JWU_PROVIDENCE_WBB2
"GUERRIER,PHONIA","LEBEL,KELLY",-1,JWU_PROVIDENCE_WBB2
"GUERRIER,PHONIA","LEWIS,JADE",0,JWU_PROVIDENCE_WBB2
"GUERRIER,PHONIA","MILDNER,STEPHANIE",-1,JWU_PROVIDENCE_WBB2
"GUERRIER,PHONIA","PACHECO,MIA",-1,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY","MILDNER,STEPHANIE",-1,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY","PACHECO,MIA",-1,JWU_PROVIDENCE_WBB2
"LEWIS,JADE","MILDNER,STEPHANIE",0,JWU_PROVIDENCE_WBB2
"LEWIS,JADE","PACHECO,MIA",0,JWU_PROVIDENCE_WBB2
"MILDNER,STEPHANIE","PACHECO,MIA",-1,JWU_PROVIDENCE_WBB2
"GUERRIER,PHONIA","SMITH,HEAVEN",-1,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY","SMITH,HEAVEN",-1,JWU_PROVIDENCE_WBB2
"MILDNER,STEPHANIE","SMITH,HEAVEN",-1,JWU_PROVIDENCE_WBB2
"PACHECO,MIA","SMITH,HEAVEN",-1,JWU_PROVIDENCE_WBB2
