Player,OREB%,TOV%,EFG%,FTR,Game
"Smith,Heaven",0.0,0.0,0.0,0.0,JWU_PROVIDENCE_WBB
"Turco,Mary",12.12,18.52,54.55,45.45,JWU_PROVIDENCE_WBB
"Lewis,Jade",6.45,9.14,31.58,10.53,JWU_PROVIDENCE_WBB
"Uribe,Talia",6.45,28.52,0.0,200.0,JWU_PROVIDENCE_WBB
"Gorski,Jenny",3.33,0.0,0.0,200.0,JWU_PROVIDENCE_WBB
"Barron,Shea",3.33,0.0,30.0,40.0,JWU_PROVIDENCE_WBB
"LeBel,Kelly",0.0,33.33,75.0,0.0,JWU_PROVIDENCE_WBB
"Johnston,Rahmia",3.33,21.99,43.75,75.0,JWU_PROVIDENCE_WBB
"Graham,Piper",3.33,0.0,33.33,16.67,JWU_PROVIDENCE_WBB
"Andrade,Sophia",0.0,50.0,75.0,0.0,JWU_PROVIDENCE_WBB
"Mildner,Stephanie",3.33,34.72,0.0,200.0,JWU_PROVIDENCE_WBB
