Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-23,JWU_PROVIDENCE_WBB
"GRAHAM,PIPER","LEWIS,JADE",-23,JWU_PROVIDENCE_WBB
"GRAHAM,PIPER","TURCO,MARY",-24,JWU_PROVIDENCE_WBB
"GRAHAM,PIPER","URIBE,TALIA",-29,JWU_PROVIDENCE_WBB
"JOHNSTON,RAHMIA","LEWIS,JADE",-23,JWU_PROVIDENCE_WBB
"JOHNSTON,RAHMIA","TURCO,MARY",-19,JWU_PROVIDENCE_WBB
"JOHNSTON,RAHMIA","URIBE,TALIA",-25,JWU_PROVIDENCE_WBB
"LEWIS,JADE","TURCO,MARY",-23,JWU_PROVIDENCE_WBB
"LEWIS,JADE","URIBE,TALIA",-24,JWU_PROVIDENCE_WBB
"TURCO,MARY","URIBE,TALIA",-25,JWU_PROVIDENCE_WBB
"GORSKI,JENNY","GRAHAM,PIPER",-2,JWU_PROVIDENCE_WBB
"GORSKI,JENNY","JOHNSTON,RAHMIA",0,JWU_PROVIDENCE_WBB
"GORSKI,JENNY","LEWIS,JADE",0,JWU_PROVIDENCE_WBB
"GORSKI,JENNY","URIBE,TALIA",0,JWU_PROVIDENCE_WBB
"BARRON,SHEA","GORSKI,JENNY",2,JWU_PROVIDENCE_WBB
"BARRON,SHEA","JOHNSTON,RAHMIA",5,JWU_PROVIDENCE_WBB
"BARRON,SHEA","LEWIS,JADE",1,JWU_PROVIDENCE_WBB
"BARRON,SHEA","URIBE,TALIA",-4,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA","BARRON,SHEA",9,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA","GRAHAM,PIPER",0,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",6,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA","LEWIS,JADE",1,JWU_PROVIDENCE_WBB
"BARRON,SHEA","GRAHAM,PIPER",1,JWU_PROVIDENCE_WBB
"GRAHAM,PIPER","LEBEL,KELLY",0,JWU_PROVIDENCE_WBB
"JOHNSTON,RAHMIA","LEBEL,KELLY",7,JWU_PROVIDENCE_WBB
"LEBEL,KELLY","LEWIS,JADE",3,JWU_PROVIDENCE_WBB
"LEBEL,KELLY","URIBE,TALIA",-2,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA","LEBEL,KELLY",3,JWU_PROVIDENCE_WBB
"BARRON,SHEA","TURCO,MARY",6,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA","TURCO,MARY",0,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA","URIBE,TALIA",-3,JWU_PROVIDENCE_WBB
"LEBEL,KELLY","TURCO,MARY",1,JWU_PROVIDENCE_WBB
"BARRON,SHEA","LEBEL,KELLY",4,JWU_PROVIDENCE_WBB
