Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-14,LASELL_WBB2
"GRAHAM,PIPER","LEWIS,JADE",-16,LASELL_WBB2
"GRAHAM,PIPER","TURCO,MARY",-5,LASELL_WBB2
"GRAHAM,PIPER","URIBE,TALIA",-10,LASELL_WBB2
"JOHNSTON,RAHMIA","LEWIS,JADE",10,LASELL_WBB2
"JOHNSTON,RAHMIA","TURCO,MARY",3,LASELL_WBB2
"JOHNSTON,RAHMIA","URIBE,TALIA",9,LASELL_WBB2
"LEWIS,JADE","TURCO,MARY",0,LASELL_WBB2
"LEWIS,JADE","URIBE,TALIA",5,LASELL_WBB2
"TURCO,MARY","URIBE,TALIA",7,LASELL_WBB2
"GORSKI,JENNY","GRAHAM,PIPER",-17,LASELL_WBB2
"GORSKI,JENNY","JOHNSTON,RAHMIA",2,LASELL_WBB2
"GORSKI,JENNY","LEWIS,JADE",-1,LASELL_WBB2
"GORSKI,JENNY","URIBE,TALIA",-3,LASELL_WBB2
"GORSKI,JENNY","TURCO,MARY",-2,LASELL_WBB2
"GORSKI,JENNY","WASIEWICZ,GABBY",-2,LASELL_WBB2
"LEWIS,JADE","WASIEWICZ,GABBY",-2,LASELL_WBB2
"TURCO,MARY","WASIEWICZ,GABBY",-2,LASELL_WBB2
"URIBE,TALIA","WASIEWICZ,GABBY",-2,LASELL_WBB2
"ANDRADE,SOPHIA","GORSKI,JENNY",8,LASELL_WBB2
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",13,LASELL_WBB2
"ANDRADE,SOPHIA","LEWIS,JADE",11,LASELL_WBB2
"ANDRADE,SOPHIA","URIBE,TALIA",4,LASELL_WBB2
"BARRON,SHEA","GRAHAM,PIPER",0,LASELL_WBB2
"BARRON,SHEA","JOHNSTON,RAHMIA",17,LASELL_WBB2
"BARRON,SHEA","LEWIS,JADE",17,LASELL_WBB2
"BARRON,SHEA","TURCO,MARY",1,LASELL_WBB2
"BARRON,SHEA","URIBE,TALIA",10,LASELL_WBB2
"BARRON,SHEA","GORSKI,JENNY",11,LASELL_WBB2
"ANDRADE,SOPHIA","GRAHAM,PIPER",-2,LASELL_WBB2
"ANDRADE,SOPHIA","TURCO,MARY",-2,LASELL_WBB2
"ANDRADE,SOPHIA","BARRON,SHEA",12,LASELL_WBB2
