Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",16,LASELL_WBB
"GRAHAM,PIPER","LEWIS,JADE",14,LASELL_WBB
"GRAHAM,PIPER","TURCO,MARY",16,LASELL_WBB
"GRAHAM,PIPER","URIBE,TALIA",17,LASELL_WBB
"JOHNSTON,RAHMIA","LEWIS,JADE",5,LASELL_WBB
"JOHNSTON,RAHMIA","TURCO,MARY",5,LASELL_WBB
"JOHNSTON,RAHMIA","URIBE,TALIA",20,LASELL_WBB
"LEWIS,JADE","TURCO,MARY",7,LASELL_WBB
"LEWIS,JADE","URIBE,TALIA",14,LASELL_WBB
"TURCO,MARY","URIBE,TALIA",16,LASELL_WBB
"BARRON,SHEA","JOHNSTON,RAHMIA",-6,LASELL_WBB
"BARRON,SHEA","LEWIS,JADE",-4,LASELL_WBB
"BARRON,SHEA","TURCO,MARY",-4,LASELL_WBB
"BARRON,SHEA","URIBE,TALIA",1,LASELL_WBB
"BARRON,SHEA","GORSKI,JENNY",-9,LASELL_WBB
"GORSKI,JENNY","JOHNSTON,RAHMIA",-5,LASELL_WBB
"GORSKI,JENNY","LEWIS,JADE",-7,LASELL_WBB
"GORSKI,JENNY","TURCO,MARY",-7,LASELL_WBB
"GORSKI,JENNY","URIBE,TALIA",6,LASELL_WBB
"GORSKI,JENNY","WASIEWICZ,GABBY",-2,LASELL_WBB
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-6,LASELL_WBB
"LEWIS,JADE","WASIEWICZ,GABBY",-6,LASELL_WBB
"TURCO,MARY","WASIEWICZ,GABBY",-8,LASELL_WBB
"BARRON,SHEA","GRAHAM,PIPER",1,LASELL_WBB
"GORSKI,JENNY","GRAHAM,PIPER",0,LASELL_WBB
"BARRON,SHEA","WASIEWICZ,GABBY",-2,LASELL_WBB
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-1,LASELL_WBB
"ANDRADE,SOPHIA","LEWIS,JADE",-3,LASELL_WBB
"ANDRADE,SOPHIA","TURCO,MARY",-5,LASELL_WBB
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-2,LASELL_WBB
"ANDRADE,SOPHIA","GORSKI,JENNY",4,LASELL_WBB
"ANDRADE,SOPHIA","GRAHAM,PIPER",0,LASELL_WBB
"ANDRADE,SOPHIA","URIBE,TALIA",4,LASELL_WBB
"URIBE,TALIA","WASIEWICZ,GABBY",2,LASELL_WBB
"ANDRADE,SOPHIA","BARRON,SHEA",-1,LASELL_WBB
