Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-15,NAZARETH
"GRAHAM,PIPER","LEWIS,JADE",-12,NAZARETH
"GRAHAM,PIPER","TURCO,MARY",7,NAZARETH
"GRAHAM,PIPER","URIBE,TALIA",-14,NAZARETH
"JOHNSTON,RAHMIA","LEWIS,JADE",-40,NAZARETH
"JOHNSTON,RAHMIA","TURCO,MARY",-5,NAZARETH
"JOHNSTON,RAHMIA","URIBE,TALIA",-39,NAZARETH
"LEWIS,JADE","TURCO,MARY",-5,NAZARETH
"LEWIS,JADE","URIBE,TALIA",-40,NAZARETH
"TURCO,MARY","URIBE,TALIA",-9,NAZARETH
"GORSKI,JENNY","GRAHAM,PIPER",-9,NAZARETH
"GORSKI,JENNY","JOHNSTON,RAHMIA",-13,NAZARETH
"GORSKI,JENNY","LEWIS,JADE",-11,NAZARETH
"GORSKI,JENNY","URIBE,TALIA",-13,NAZARETH
"GORSKI,JENNY","LEBEL,KELLY",-1,NAZARETH
"GRAHAM,PIPER","LEBEL,KELLY",-2,NAZARETH
"JOHNSTON,RAHMIA","LEBEL,KELLY",-30,NAZARETH
"LEBEL,KELLY","LEWIS,JADE",-28,NAZARETH
"ANDRADE,SOPHIA","GRAHAM,PIPER",-3,NAZARETH
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-6,NAZARETH
"ANDRADE,SOPHIA","LEBEL,KELLY",-6,NAZARETH
"ANDRADE,SOPHIA","LEWIS,JADE",-6,NAZARETH
"ANDRADE,SOPHIA","URIBE,TALIA",-3,NAZARETH
"LEBEL,KELLY","URIBE,TALIA",-27,NAZARETH
"LEBEL,KELLY","TURCO,MARY",-2,NAZARETH
"BARRON,SHEA","GRAHAM,PIPER",0,NAZARETH
"BARRON,SHEA","LEBEL,KELLY",-4,NAZARETH
"BARRON,SHEA","LEWIS,JADE",2,NAZARETH
"BARRON,SHEA","TURCO,MARY",2,NAZARETH
"BARRON,SHEA","JOHNSTON,RAHMIA",0,NAZARETH
"GORSKI,JENNY","TURCO,MARY",4,NAZARETH
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",-12,NAZARETH
"LEBEL,KELLY","MILDNER,STEPHANIE",-12,NAZARETH
"LEWIS,JADE","MILDNER,STEPHANIE",-12,NAZARETH
"MILDNER,STEPHANIE","URIBE,TALIA",-12,NAZARETH
"BARRON,SHEA","GORSKI,JENNY",-1,NAZARETH
"BARRON,SHEA","URIBE,TALIA",-3,NAZARETH
"ANDRADE,SOPHIA","BARRON,SHEA",0,NAZARETH
