Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-10,Rivier
"GRAHAM,PIPER","LEWIS,JADE",-9,Rivier
"GRAHAM,PIPER","TURCO,MARY",-9,Rivier
"GRAHAM,PIPER","URIBE,TALIA",-10,Rivier
"JOHNSTON,RAHMIA","LEWIS,JADE",-22,Rivier
"JOHNSTON,RAHMIA","TURCO,MARY",-20,Rivier
"JOHNSTON,RAHMIA","URIBE,TALIA",-28,Rivier
"LEWIS,JADE","TURCO,MARY",-19,Rivier
"LEWIS,JADE","URIBE,TALIA",-28,Rivier
"TURCO,MARY","URIBE,TALIA",-23,Rivier
"BARRON,SHEA","JOHNSTON,RAHMIA",-14,Rivier
"BARRON,SHEA","LEWIS,JADE",-13,Rivier
"BARRON,SHEA","TURCO,MARY",-10,Rivier
"BARRON,SHEA","URIBE,TALIA",-12,Rivier
"BARRON,SHEA","LEBEL,KELLY",4,Rivier
"JOHNSTON,RAHMIA","LEBEL,KELLY",1,Rivier
"LEBEL,KELLY","LEWIS,JADE",2,Rivier
"LEBEL,KELLY","TURCO,MARY",2,Rivier
"BARRON,SHEA","GRAHAM,PIPER",-7,Rivier
"GRAHAM,PIPER","LEBEL,KELLY",5,Rivier
"LEBEL,KELLY","URIBE,TALIA",-8,Rivier
"ANDRADE,SOPHIA","GRAHAM,PIPER",0,Rivier
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-2,Rivier
"ANDRADE,SOPHIA","LEWIS,JADE",-2,Rivier
"ANDRADE,SOPHIA","URIBE,TALIA",-4,Rivier
"ANDRADE,SOPHIA","BARRON,SHEA",-4,Rivier
"JOHNSTON,RAHMIA","SMITH,HEAVEN",0,Rivier
"LEBEL,KELLY","SMITH,HEAVEN",-2,Rivier
"LEWIS,JADE","SMITH,HEAVEN",0,Rivier
"SMITH,HEAVEN","TURCO,MARY",-2,Rivier
"JOHNSTON,RAHMIA","PACHECO,MIA",3,Rivier
"LEWIS,JADE","PACHECO,MIA",3,Rivier
"PACHECO,MIA","TURCO,MARY",1,Rivier
"PACHECO,MIA","URIBE,TALIA",1,Rivier
"ANDRADE,SOPHIA","PACHECO,MIA",2,Rivier
"ANDRADE,SOPHIA","SMITH,HEAVEN",2,Rivier
"PACHECO,MIA","SMITH,HEAVEN",2,Rivier
