Player,OREB%,TOV%,EFG%,FTR,Game
"Smith,Heaven",0.0,50.0,100.0,0.0,ST_JOSEPH_S(ME)_WBB
"Pacheco,Mia",0.0,0.0,0.0,0.0,ST_JOSEPH_S(ME)_WBB
"Turco,Mary",6.67,29.07,33.33,50.0,ST_JOSEPH_S(ME)_WBB
"Wasiewicz,Gabby",0.0,0.0,25.0,0.0,ST_JOSEPH_S(ME)_WBB
"Lewis,Jade",6.67,34.11,25.0,80.0,ST_JOSEPH_S(ME)_WBB
"Uribe,Talia",9.68,50.0,0.0,0.0,ST_JOSEPH_S(ME)_WBB
"Gorski,Jenny",0.0,20.0,75.0,0.0,ST_JOSEPH_S(ME)_WBB
"Barron,Shea",0.0,50.0,0.0,0.0,ST_JOSEPH_S(ME)_WBB
"LeBel,Kelly",0.0,17.01,62.5,50.0,ST_JOSEPH_S(ME)_WBB
"Johnston,Rahmia",0.0,11.55,46.43,21.43,ST_JOSEPH_S(ME)_WBB
"Graham,Piper",0.0,18.18,16.67,0.0,ST_JOSEPH_S(ME)_WBB
"Andrade,Sophia",0.0,0.0,0.0,0.0,ST_JOSEPH_S(ME)_WBB
"Mildner,Stephanie",0.0,0.0,100.0,0.0,ST_JOSEPH_S(ME)_WBB
