Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-22,ST_JOSEPH_S(ME)_WBB
"GRAHAM,PIPER","LEWIS,JADE",-26,ST_JOSEPH_S(ME)_WBB
"GRAHAM,PIPER","TURCO,MARY",-14,ST_JOSEPH_S(ME)_WBB
"GRAHAM,PIPER","URIBE,TALIA",-17,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA","LEWIS,JADE",-19,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA","TURCO,MARY",-12,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA","URIBE,TALIA",-11,ST_JOSEPH_S(ME)_WBB
"LEWIS,JADE","TURCO,MARY",-11,ST_JOSEPH_S(ME)_WBB
"LEWIS,JADE","URIBE,TALIA",-14,ST_JOSEPH_S(ME)_WBB
"TURCO,MARY","URIBE,TALIA",-9,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY","GRAHAM,PIPER",-11,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY","JOHNSTON,RAHMIA",-7,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY","LEWIS,JADE",-7,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY","TURCO,MARY",-7,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","GORSKI,JENNY",-7,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","JOHNSTON,RAHMIA",2,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","LEWIS,JADE",-7,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","TURCO,MARY",-5,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","GRAHAM,PIPER",2,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","URIBE,TALIA",-3,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","WASIEWICZ,GABBY",-9,ST_JOSEPH_S(ME)_WBB
"GRAHAM,PIPER","WASIEWICZ,GABBY",-14,ST_JOSEPH_S(ME)_WBB
"TURCO,MARY","WASIEWICZ,GABBY",-4,ST_JOSEPH_S(ME)_WBB
"URIBE,TALIA","WASIEWICZ,GABBY",-12,ST_JOSEPH_S(ME)_WBB
"LEWIS,JADE","WASIEWICZ,GABBY",-10,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-3,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY","URIBE,TALIA",0,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY","WASIEWICZ,GABBY",0,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY","LEBEL,KELLY",-3,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA","LEBEL,KELLY",-3,ST_JOSEPH_S(ME)_WBB
"LEBEL,KELLY","LEWIS,JADE",-3,ST_JOSEPH_S(ME)_WBB
"LEBEL,KELLY","WASIEWICZ,GABBY",3,ST_JOSEPH_S(ME)_WBB
"GRAHAM,PIPER","LEBEL,KELLY",-11,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","GRAHAM,PIPER",-4,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",0,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","LEBEL,KELLY",-6,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","LEWIS,JADE",-7,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-3,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","URIBE,TALIA",-2,ST_JOSEPH_S(ME)_WBB
"LEBEL,KELLY","TURCO,MARY",-2,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","LEBEL,KELLY",-3,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","GORSKI,JENNY",-2,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","BARRON,SHEA",5,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","MILDNER,STEPHANIE",5,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","MILDNER,STEPHANIE",5,ST_JOSEPH_S(ME)_WBB
"GRAHAM,PIPER","MILDNER,STEPHANIE",5,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",5,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","PACHECO,MIA",2,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA","PACHECO,MIA",0,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA","PACHECO,MIA",2,ST_JOSEPH_S(ME)_WBB
"MILDNER,STEPHANIE","PACHECO,MIA",0,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","GUERRIER,PHONIA",2,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA","SMITH,HEAVEN",2,ST_JOSEPH_S(ME)_WBB
"GUERRIER,PHONIA","JOHNSTON,RAHMIA",2,ST_JOSEPH_S(ME)_WBB
"GUERRIER,PHONIA","PACHECO,MIA",2,ST_JOSEPH_S(ME)_WBB
"GUERRIER,PHONIA","SMITH,HEAVEN",2,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA","SMITH,HEAVEN",2,ST_JOSEPH_S(ME)_WBB
"PACHECO,MIA","SMITH,HEAVEN",2,ST_JOSEPH_S(ME)_WBB
