Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-20,Salem State
"GRAHAM,PIPER","LEWIS,JADE",-20,Salem State
"GRAHAM,PIPER","TURCO,MARY",-5,Salem State
"GRAHAM,PIPER","URIBE,TALIA",-5,Salem State
"JOHNSTON,RAHMIA","LEWIS,JADE",-23,Salem State
"JOHNSTON,RAHMIA","TURCO,MARY",-8,Salem State
"JOHNSTON,RAHMIA","URIBE,TALIA",-5,Salem State
"LEWIS,JADE","TURCO,MARY",-8,Salem State
"LEWIS,JADE","URIBE,TALIA",-5,Salem State
"TURCO,MARY","URIBE,TALIA",-4,Salem State
"GORSKI,JENNY","GRAHAM,PIPER",-14,Salem State
"GORSKI,JENNY","JOHNSTON,RAHMIA",-17,Salem State
"GORSKI,JENNY","LEWIS,JADE",-17,Salem State
"GORSKI,JENNY","TURCO,MARY",-2,Salem State
"GORSKI,JENNY","LEBEL,KELLY",-2,Salem State
"JOHNSTON,RAHMIA","LEBEL,KELLY",-4,Salem State
"LEBEL,KELLY","LEWIS,JADE",-4,Salem State
"LEBEL,KELLY","TURCO,MARY",-5,Salem State
"GORSKI,JENNY","URIBE,TALIA",-1,Salem State
"LEBEL,KELLY","URIBE,TALIA",0,Salem State
"GRAHAM,PIPER","LEBEL,KELLY",-1,Salem State
"ANDRADE,SOPHIA","GORSKI,JENNY",-15,Salem State
"ANDRADE,SOPHIA","GRAHAM,PIPER",-15,Salem State
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-15,Salem State
"ANDRADE,SOPHIA","LEWIS,JADE",-15,Salem State
