Player,OREB%,TOV%,EFG%,FTR,Game
"Smith,Heaven",0.0,0.0,0.0,0.0,USJ CT
"Turco,Mary",9.09,21.98,33.33,41.67,USJ CT
"Wasiewicz,Gabby",0.0,37.5,30.0,0.0,USJ CT
"Lewis,Jade",2.44,35.0,38.46,0.0,USJ CT
"Uribe,Talia",4.76,22.22,14.29,0.0,USJ CT
"Gorski,Jenny",2.44,50.0,100.0,0.0,USJ CT
"Barron,Shea",0.0,50.0,0.0,0.0,USJ CT
"LeBel,Kelly",0.0,33.33,75.0,0.0,USJ CT
"Johnston,Rahmia",0.0,18.89,16.67,16.67,USJ CT
"Graham,Piper",2.44,22.52,16.67,33.33,USJ CT
"Andrade,Sophia",2.44,0.0,0.0,0.0,USJ CT
"Mildner,Stephanie",0.0,0.0,0.0,0.0,USJ CT
