Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-29,USJ CT
"GRAHAM,PIPER","LEWIS,JADE",-22,USJ CT
"GRAHAM,PIPER","TURCO,MARY",-19,USJ CT
"GRAHAM,PIPER","URIBE,TALIA",-4,USJ CT
"JOHNSTON,RAHMIA","LEWIS,JADE",-27,USJ CT
"JOHNSTON,RAHMIA","TURCO,MARY",-24,USJ CT
"JOHNSTON,RAHMIA","URIBE,TALIA",-13,USJ CT
"LEWIS,JADE","TURCO,MARY",-15,USJ CT
"LEWIS,JADE","URIBE,TALIA",-4,USJ CT
"TURCO,MARY","URIBE,TALIA",-7,USJ CT
"BARRON,SHEA","GRAHAM,PIPER",-15,USJ CT
"BARRON,SHEA","JOHNSTON,RAHMIA",-24,USJ CT
"BARRON,SHEA","LEWIS,JADE",-19,USJ CT
"BARRON,SHEA","TURCO,MARY",-14,USJ CT
"BARRON,SHEA","GORSKI,JENNY",-14,USJ CT
"GORSKI,JENNY","GRAHAM,PIPER",-4,USJ CT
"GORSKI,JENNY","JOHNSTON,RAHMIA",-12,USJ CT
"GORSKI,JENNY","LEWIS,JADE",-4,USJ CT
"BARRON,SHEA","URIBE,TALIA",-15,USJ CT
"BARRON,SHEA","WASIEWICZ,GABBY",-6,USJ CT
"GORSKI,JENNY","URIBE,TALIA",-2,USJ CT
"GORSKI,JENNY","WASIEWICZ,GABBY",3,USJ CT
"LEWIS,JADE","WASIEWICZ,GABBY",-14,USJ CT
"URIBE,TALIA","WASIEWICZ,GABBY",-2,USJ CT
"JOHNSTON,RAHMIA","LEBEL,KELLY",-1,USJ CT
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-14,USJ CT
"LEBEL,KELLY","TURCO,MARY",-1,USJ CT
"LEBEL,KELLY","URIBE,TALIA",-1,USJ CT
"LEBEL,KELLY","WASIEWICZ,GABBY",-1,USJ CT
"TURCO,MARY","WASIEWICZ,GABBY",-14,USJ CT
"ANDRADE,SOPHIA","GRAHAM,PIPER",0,USJ CT
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-1,USJ CT
"ANDRADE,SOPHIA","LEWIS,JADE",-4,USJ CT
"ANDRADE,SOPHIA","URIBE,TALIA",-5,USJ CT
"ANDRADE,SOPHIA","BARRON,SHEA",-5,USJ CT
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-4,USJ CT
"ANDRADE,SOPHIA","GORSKI,JENNY",-1,USJ CT
"GORSKI,JENNY","TURCO,MARY",-2,USJ CT
"GRAHAM,PIPER","WASIEWICZ,GABBY",-8,USJ CT
"GRAHAM,PIPER","MILDNER,STEPHANIE",-3,USJ CT
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",-3,USJ CT
"LEWIS,JADE","MILDNER,STEPHANIE",-3,USJ CT
"MILDNER,STEPHANIE","URIBE,TALIA",-3,USJ CT
"GRAHAM,PIPER","SMITH,HEAVEN",0,USJ CT
"JOHNSTON,RAHMIA","SMITH,HEAVEN",0,USJ CT
"LEWIS,JADE","SMITH,HEAVEN",0,USJ CT
"MILDNER,STEPHANIE","SMITH,HEAVEN",-1,USJ CT
"GUERRIER,PHONIA","LEBEL,KELLY",-1,USJ CT
"GUERRIER,PHONIA","MILDNER,STEPHANIE",-1,USJ CT
"GUERRIER,PHONIA","PACHECO,MIA",-1,USJ CT
"GUERRIER,PHONIA","SMITH,HEAVEN",-1,USJ CT
"LEBEL,KELLY","MILDNER,STEPHANIE",-1,USJ CT
"LEBEL,KELLY","PACHECO,MIA",-1,USJ CT
"LEBEL,KELLY","SMITH,HEAVEN",-1,USJ CT
"MILDNER,STEPHANIE","PACHECO,MIA",-1,USJ CT
"PACHECO,MIA","SMITH,HEAVEN",-1,USJ CT
