Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-2,WBB NORWICH AT ELMS 2024-25
"GRAHAM,PIPER","LEWIS,JADE",9,WBB NORWICH AT ELMS 2024-25
"GRAHAM,PIPER","TURCO,MARY",3,WBB NORWICH AT ELMS 2024-25
"GRAHAM,PIPER","URIBE,TALIA",12,WBB NORWICH AT ELMS 2024-25
"JOHNSTON,RAHMIA","LEWIS,JADE",4,WBB NORWICH AT ELMS 2024-25
"JOHNSTON,RAHMIA","TURCO,MARY",-5,WBB NORWICH AT ELMS 2024-25
"JOHNSTON,RAHMIA","URIBE,TALIA",6,WBB NORWICH AT ELMS 2024-25
"LEWIS,JADE","TURCO,MARY",3,WBB NORWICH AT ELMS 2024-25
"LEWIS,JADE","URIBE,TALIA",15,WBB NORWICH AT ELMS 2024-25
"TURCO,MARY","URIBE,TALIA",11,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA","GORSKI,JENNY",4,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA","GRAHAM,PIPER",-1,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA","JOHNSTON,RAHMIA",1,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA","LEWIS,JADE",3,WBB NORWICH AT ELMS 2024-25
"GORSKI,JENNY","GRAHAM,PIPER",2,WBB NORWICH AT ELMS 2024-25
"GORSKI,JENNY","JOHNSTON,RAHMIA",5,WBB NORWICH AT ELMS 2024-25
"GORSKI,JENNY","LEWIS,JADE",8,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA","TURCO,MARY",-2,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA","WASIEWICZ,GABBY",1,WBB NORWICH AT ELMS 2024-25
"GORSKI,JENNY","TURCO,MARY",-1,WBB NORWICH AT ELMS 2024-25
"GORSKI,JENNY","WASIEWICZ,GABBY",1,WBB NORWICH AT ELMS 2024-25
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-3,WBB NORWICH AT ELMS 2024-25
"TURCO,MARY","WASIEWICZ,GABBY",3,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA","URIBE,TALIA",2,WBB NORWICH AT ELMS 2024-25
"URIBE,TALIA","WASIEWICZ,GABBY",7,WBB NORWICH AT ELMS 2024-25
"GRAHAM,PIPER","WASIEWICZ,GABBY",3,WBB NORWICH AT ELMS 2024-25
"LEWIS,JADE","WASIEWICZ,GABBY",6,WBB NORWICH AT ELMS 2024-25
"GORSKI,JENNY","URIBE,TALIA",3,WBB NORWICH AT ELMS 2024-25
"GORSKI,JENNY","LEBEL,KELLY",-2,WBB NORWICH AT ELMS 2024-25
"GRAHAM,PIPER","LEBEL,KELLY",-2,WBB NORWICH AT ELMS 2024-25
"JOHNSTON,RAHMIA","LEBEL,KELLY",-2,WBB NORWICH AT ELMS 2024-25
"LEBEL,KELLY","WASIEWICZ,GABBY",-2,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA","LEBEL,KELLY",0,WBB NORWICH AT ELMS 2024-25
