Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",2,Wellesley
"GRAHAM,PIPER","LEWIS,JADE",3,Wellesley
"GRAHAM,PIPER","TURCO,MARY",-1,Wellesley
"GRAHAM,PIPER","URIBE,TALIA",-2,Wellesley
"JOHNSTON,RAHMIA","LEWIS,JADE",-23,Wellesley
"JOHNSTON,RAHMIA","TURCO,MARY",-20,Wellesley
"JOHNSTON,RAHMIA","URIBE,TALIA",-28,Wellesley
"LEWIS,JADE","TURCO,MARY",-16,Wellesley
"LEWIS,JADE","URIBE,TALIA",-23,Wellesley
"TURCO,MARY","URIBE,TALIA",-16,Wellesley
"JOHNSTON,RAHMIA","LEBEL,KELLY",1,Wellesley
"LEBEL,KELLY","LEWIS,JADE",6,Wellesley
"LEBEL,KELLY","TURCO,MARY",2,Wellesley
"LEBEL,KELLY","URIBE,TALIA",1,Wellesley
"GORSKI,JENNY","JOHNSTON,RAHMIA",-21,Wellesley
"GORSKI,JENNY","LEBEL,KELLY",7,Wellesley
"GORSKI,JENNY","LEWIS,JADE",-16,Wellesley
"GORSKI,JENNY","TURCO,MARY",-13,Wellesley
"GORSKI,JENNY","URIBE,TALIA",-21,Wellesley
"ANDRADE,SOPHIA","GORSKI,JENNY",-6,Wellesley
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-6,Wellesley
"ANDRADE,SOPHIA","LEWIS,JADE",-6,Wellesley
"ANDRADE,SOPHIA","URIBE,TALIA",-6,Wellesley
"BARRON,SHEA","JOHNSTON,RAHMIA",-1,Wellesley
"BARRON,SHEA","LEWIS,JADE",-1,Wellesley
"BARRON,SHEA","TURCO,MARY",0,Wellesley
"BARRON,SHEA","URIBE,TALIA",-1,Wellesley
"BARRON,SHEA","GORSKI,JENNY",-1,Wellesley
"GORSKI,JENNY","GRAHAM,PIPER",3,Wellesley
"GRAHAM,PIPER","LEBEL,KELLY",3,Wellesley
