Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",14,Wentworth
"GRAHAM,PIPER","LEWIS,JADE",25,Wentworth
"GRAHAM,PIPER","TURCO,MARY",7,Wentworth
"GRAHAM,PIPER","URIBE,TALIA",15,Wentworth
"JOHNSTON,RAHMIA","LEWIS,JADE",3,Wentworth
"JOHNSTON,RAHMIA","TURCO,MARY",1,Wentworth
"JOHNSTON,RAHMIA","URIBE,TALIA",7,Wentworth
"LEWIS,JADE","TURCO,MARY",4,Wentworth
"LEWIS,JADE","URIBE,TALIA",11,Wentworth
"TURCO,MARY","URIBE,TALIA",-2,Wentworth
"GORSKI,JENNY","GRAHAM,PIPER",23,Wentworth
"GORSKI,JENNY","JOHNSTON,RAHMIA",12,Wentworth
"GORSKI,JENNY","LEWIS,JADE",23,Wentworth
"GORSKI,JENNY","TURCO,MARY",9,Wentworth
"BARRON,SHEA","GORSKI,JENNY",-3,Wentworth
"BARRON,SHEA","GRAHAM,PIPER",-1,Wentworth
"BARRON,SHEA","JOHNSTON,RAHMIA",-8,Wentworth
"BARRON,SHEA","LEWIS,JADE",-4,Wentworth
"BARRON,SHEA","LEBEL,KELLY",-7,Wentworth
"GORSKI,JENNY","LEBEL,KELLY",5,Wentworth
"GRAHAM,PIPER","LEBEL,KELLY",7,Wentworth
"JOHNSTON,RAHMIA","LEBEL,KELLY",-7,Wentworth
"BARRON,SHEA","TURCO,MARY",-3,Wentworth
"LEBEL,KELLY","LEWIS,JADE",4,Wentworth
"LEBEL,KELLY","TURCO,MARY",0,Wentworth
"GORSKI,JENNY","URIBE,TALIA",15,Wentworth
"LEBEL,KELLY","URIBE,TALIA",6,Wentworth
"ANDRADE,SOPHIA","BARRON,SHEA",-2,Wentworth
"ANDRADE,SOPHIA","GRAHAM,PIPER",2,Wentworth
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-2,Wentworth
"ANDRADE,SOPHIA","LEWIS,JADE",-2,Wentworth
"ANDRADE,SOPHIA","PACHECO,MIA",-4,Wentworth
"BARRON,SHEA","PACHECO,MIA",-4,Wentworth
"JOHNSTON,RAHMIA","PACHECO,MIA",-8,Wentworth
"LEWIS,JADE","PACHECO,MIA",-8,Wentworth
"ANDRADE,SOPHIA","MILDNER,STEPHANIE",0,Wentworth
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",-4,Wentworth
"LEWIS,JADE","MILDNER,STEPHANIE",-4,Wentworth
"MILDNER,STEPHANIE","PACHECO,MIA",-4,Wentworth
"GUERRIER,PHONIA","JOHNSTON,RAHMIA",-4,Wentworth
"GUERRIER,PHONIA","LEWIS,JADE",-4,Wentworth
"GUERRIER,PHONIA","MILDNER,STEPHANIE",-4,Wentworth
"GUERRIER,PHONIA","PACHECO,MIA",-4,Wentworth
