Player,OREB%,TOV%,EFG%,FTR,Game
Mary Turco,0.0,75.0,50.0,0.0,Westfield
Jade Lewis,8.33,50.92,42.86,85.71,Westfield
Talia Uribe,15.38,49.8,14.29,100.0,Westfield
Jenny Gorski,15.38,69.88,33.33,66.67,Westfield
Shea Barron,4.35,25.0,50.0,0.0,Westfield
Kelly LeBel,0.0,40.98,75.0,100.0,Westfield
Soliyana Asfaw,4.35,0.0,0.0,0.0,Westfield
Rahmia Johnston,8.33,38.84,40.62,18.75,Westfield
Sophia Andrade,8.33,33.33,25.0,0.0,Westfield
Ta'Niyah Scott,4.35,0.0,100.0,200.0,Westfield
Autumn Koch,0.0,25.0,0.0,0.0,Westfield
Danajah Stokes,0.0,0.0,0.0,0.0,Westfield
