Player 1,Player 2,Plus/Minus,Game
"ASFAW,SOLIYANA","GORSKI,JENNY",-1,Westfield
"ASFAW,SOLIYANA","LEWIS,JADE",-22,Westfield
"ASFAW,SOLIYANA","TURCO,MARY",-7,Westfield
"ASFAW,SOLIYANA","URIBE,TALIA",-20,Westfield
"GORSKI,JENNY","LEWIS,JADE",-1,Westfield
"GORSKI,JENNY","TURCO,MARY",-1,Westfield
"GORSKI,JENNY","URIBE,TALIA",-1,Westfield
"LEWIS,JADE","TURCO,MARY",-3,Westfield
"LEWIS,JADE","URIBE,TALIA",-20,Westfield
"TURCO,MARY","URIBE,TALIA",-1,Westfield
"ANDRADE,SOPHIA","ASFAW,SOLIYANA",-40,Westfield
"ANDRADE,SOPHIA","LEBEL,KELLY",-40,Westfield
"ANDRADE,SOPHIA","LEWIS,JADE",-21,Westfield
"ANDRADE,SOPHIA","TURCO,MARY",-6,Westfield
"ASFAW,SOLIYANA","LEBEL,KELLY",-39,Westfield
"LEBEL,KELLY","LEWIS,JADE",-21,Westfield
"LEBEL,KELLY","TURCO,MARY",-6,Westfield
"ANDRADE,SOPHIA","URIBE,TALIA",-19,Westfield
"LEBEL,KELLY","URIBE,TALIA",-19,Westfield
"ANDRADE,SOPHIA","BARRON,SHEA",-13,Westfield
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-19,Westfield
"ASFAW,SOLIYANA","BARRON,SHEA",-13,Westfield
"ASFAW,SOLIYANA","JOHNSTON,RAHMIA",-18,Westfield
"BARRON,SHEA","JOHNSTON,RAHMIA",-13,Westfield
"BARRON,SHEA","LEBEL,KELLY",-13,Westfield
"JOHNSTON,RAHMIA","LEBEL,KELLY",-18,Westfield
"JOHNSTON,RAHMIA","TURCO,MARY",-4,Westfield
"ANDRADE,SOPHIA","PACHECO,MIA",-2,Westfield
"ASFAW,SOLIYANA","PACHECO,MIA",-1,Westfield
"JOHNSTON,RAHMIA","PACHECO,MIA",-1,Westfield
"LEBEL,KELLY","PACHECO,MIA",-1,Westfield
"ASFAW,SOLIYANA","MILDNER,STEPHANIE",1,Westfield
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",1,Westfield
"LEBEL,KELLY","MILDNER,STEPHANIE",1,Westfield
"MILDNER,STEPHANIE","PACHECO,MIA",1,Westfield
"ASFAW,SOLIYANA","GUERRIER,PHONIA",0,Westfield
"GUERRIER,PHONIA","LEBEL,KELLY",0,Westfield
"GUERRIER,PHONIA","MILDNER,STEPHANIE",0,Westfield
"GUERRIER,PHONIA","PACHECO,MIA",0,Westfield
