Player,OREB%,TOV%,EFG%,FTR,Game
"Turco, Mary",18.75,20.16,36.36,100.0,ALBERTUS_WBB
"Wasiewicz, Gabby",0.0,20.0,0.0,0.0,ALBERTUS_WBB
"Lewis, Jade",3.7,24.21,55.56,88.89,ALBERTUS_WBB
"Uribe, Talia",3.7,12.69,50.0,33.33,ALBERTUS_WBB
"Gorski, Jenny",10.34,0.0,66.67,33.33,ALBERTUS_WBB
"Barron, Shea",0.0,20.0,75.0,0.0,ALBERTUS_WBB
"LeBel, Kelly",0.0,33.33,0.0,0.0,ALBERTUS_WBB
"Johnston, Rahmia",3.7,29.83,50.0,40.0,ALBERTUS_WBB
"Graham, Piper",0.0,12.5,0.0,0.0,ALBERTUS_WBB
Mia Pacheco,2.78,66.67,150.0,0.0,AMHERST_WBB
Mary Turco,7.89,11.42,33.33,66.67,AMHERST_WBB
Jade Lewis,0.0,54.35,20.0,40.0,AMHERST_WBB
Talia Uribe,5.41,50.0,0.0,0.0,AMHERST_WBB
Jenny Gorski,5.41,14.53,0.0,40.0,AMHERST_WBB
Shea Barron,0.0,0.0,35.71,0.0,AMHERST_WBB
Kelly LeBel,0.0,0.0,0.0,0.0,AMHERST_WBB
Rahmia Johnston,2.78,14.02,7.14,71.43,AMHERST_WBB
Piper Graham,0.0,29.07,18.75,50.0,AMHERST_WBB
"Turco,Mary",22.22,21.46,50.0,50.0,ANNA_MARIA_WBB
"Wasiewicz,Gabby",0.0,0.0,35.71,0.0,ANNA_MARIA_WBB
"Lewis,Jade",6.67,46.06,50.0,16.67,ANNA_MARIA_WBB
"Uribe,Talia",22.22,18.38,0.0,25.0,ANNA_MARIA_WBB
"Gorski,Jenny",30.0,31.49,80.0,20.0,ANNA_MARIA_WBB
"Barron,Shea",0.0,25.0,50.0,0.0,ANNA_MARIA_WBB
"Johnston,Rahmia",12.5,21.32,7.69,30.77,ANNA_MARIA_WBB
"Graham,Piper",6.67,33.33,16.67,0.0,ANNA_MARIA_WBB
"Turco,Mary",4.76,29.07,62.5,50.0,COLBY_SAWYER_WBB
"Wasiewicz,Gabby",0.0,11.11,50.0,0.0,COLBY_SAWYER_WBB
"Lewis,Jade",4.76,47.17,57.14,100.0,COLBY_SAWYER_WBB
"Uribe,Talia",0.0,0.0,66.67,300.0,COLBY_SAWYER_WBB
"Gorski,Jenny",9.09,34.25,50.0,100.0,COLBY_SAWYER_WBB
"Barron,Shea",4.76,20.0,37.5,0.0,COLBY_SAWYER_WBB
"LeBel,Kelly",0.0,0.0,0.0,0.0,COLBY_SAWYER_WBB
"Johnston,Rahmia",13.04,31.97,37.5,75.0,COLBY_SAWYER_WBB
"Graham,Piper",0.0,27.88,25.0,66.67,COLBY_SAWYER_WBB
"Andrade,Sophia",0.0,0.0,0.0,0.0,COLBY_SAWYER_WBB
Mia Pacheco,0.0,66.67,0.0,0.0,Dean
Mary Turco,14.81,36.76,50.0,33.33,Dean
Gabby Wasiewicz,0.0,37.5,80.0,0.0,Dean
Jade Lewis,11.54,29.53,46.15,23.08,Dean
Talia Uribe,11.54,23.29,50.0,22.22,Dean
Jenny Gorski,0.0,60.0,100.0,0.0,Dean
Shea Barron,0.0,0.0,0.0,0.0,Dean
Kelly LeBel,0.0,0.0,0.0,0.0,Dean
Rahmia Johnston,0.0,15.82,31.25,75.0,Dean
Piper Graham,0.0,7.14,76.92,0.0,Dean
Sophia Andrade,0.0,33.33,0.0,0.0,Dean
Stephanie Mildner,0.0,0.0,0.0,0.0,Dean
"Turco,Mary",9.68,41.39,25.0,175.0,Emerson
"Lewis,Jade",0.0,23.29,50.0,22.22,Emerson
"Uribe,Talia",6.67,6.01,34.62,46.15,Emerson
"Gorski,Jenny",6.67,50.0,33.33,0.0,Emerson
"LeBel,Kelly",0.0,20.0,0.0,0.0,Emerson
"Johnston,Rahmia",0.0,20.83,92.31,38.46,Emerson
"Graham,Piper",0.0,18.18,61.11,0.0,Emerson
